Model Name,Batch Size,Learning Rate,Phase,Epoch,Loss,Accuracy,Patience Count
SwinV2Model,32,0.05,Train,2,4.452720904,0.386266083,0
SwinV2Model,32,0.05,Validation,2,4.794777288,0.371859282,1
SwinV2Model,32,0.05,Train,3,4.400613294,0.422746778,1
SwinV2Model,32,0.05,Validation,3,4.459077339,0.407035172,2
SwinV2Model,32,0.05,Train,4,4.021228459,0.473175973,2
SwinV2Model,32,0.05,Validation,4,3.058370502,0.422110558,0
SwinV2Model,32,0.05,Train,5,3.204309042,0.506437778,0
SwinV2Model,32,0.05,Validation,5,3.530674664,0.457286417,1
SwinV2Model,32,0.05,Train,6,2.411996501,0.568669498,1
SwinV2Model,32,0.05,Validation,6,1.386878331,0.668341696,0
SwinV2Model,32,0.05,Train,7,1.801032916,0.598712444,0
SwinV2Model,32,0.05,Validation,7,1.459048628,0.628140688,1
SwinV2Model,32,0.05,Train,8,1.516539266,0.623390555,1
SwinV2Model,32,0.05,Validation,8,1.355094285,0.633165836,0
SwinV2Model,32,0.05,Train,9,1.612430335,0.616952777,0
SwinV2Model,32,0.05,Validation,9,1.248826879,0.648241222,0
SwinV2Model,32,0.05,Train,10,1.330674618,0.644849777,0
SwinV2Model,32,0.05,Validation,10,1.311492384,0.603015065,1
SwinV2Model,32,0.05,Train,11,1.461379557,0.636266112,1
SwinV2Model,32,0.05,Validation,11,1.206005427,0.658291459,0
SwinV2Model,32,0.05,Train,12,1.205241664,0.662017167,0
SwinV2Model,32,0.05,Validation,12,1.180083903,0.653266311,0
SwinV2Model,32,0.05,Train,13,1.312065851,0.656652331,0
SwinV2Model,32,0.05,Validation,13,1.208888392,0.658291459,1
SwinV2Model,32,0.05,Train,14,1.316541434,0.623390555,1
SwinV2Model,32,0.05,Validation,14,1.174209986,0.683417082,0
SwinV2Model,32,0.05,Train,15,1.264789622,0.648068666,0
SwinV2Model,32,0.05,Validation,15,1.205039647,0.653266311,1
SwinV2Model,32,0.05,Train,16,1.248345423,0.66309011,1
SwinV2Model,32,0.05,Validation,16,1.199152165,0.658291459,2
SwinV2Model,32,0.05,Train,17,1.247666439,0.652360499,2
SwinV2Model,32,0.05,Validation,17,1.195779138,0.658291459,3
SwinV2Model,32,0.05,Train,18,1.255204811,0.66309011,3
SwinV2Model,32,0.05,Validation,18,1.192742591,0.668341696,4
SwinV2Model,32,0.05,Train,19,1.223993282,0.64592272,4
SwinV2Model,32,0.05,Validation,19,1.189185994,0.668341696,5
SwinV2Model,32,0.05,Train,20,1.097303454,0.668454945,5
SwinV2Model,32,0.05,Validation,20,1.185055057,0.668341696,6
